"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-01","","1","2839","1712","1","1","President and Vice President","","1","(R) ROMNEY, Mitt / RYAN, Paul","REP","C","82","34","172"
"01-01","","1","2839","1712","1","1","President and Vice President","","2","(G) STEIN, Jill / HONKALA, Cheri","GRE","C","8","2","10"
"01-01","","1","2839","1712","1","1","President and Vice President","","3","(L) JOHNSON, Gary / GRAY, James P.","LIB","C","6","2","17"
"01-01","","1","2839","1712","1","1","President and Vice President","","4","(D) OBAMA, Barack / BIDEN, Joe","DEM","C","549","126","696"
"01-01","","1","2839","1712","1","2","US Senator","","5","(D) HIRONO, Mazie","DEM","C","492","117","645"
"01-01","","1","2839","1712","1","2","US Senator","","6","(R) LINGLE, Linda","REP","C","142","48","243"
"01-01","","1","2839","1712","1","4","US Representative, Dist 2","","9","(R) CROWLEY, Kawika","REP","C","69","30","110"
"01-01","","1","2839","1712","1","4","US Representative, Dist 2","","10","(D) GABBARD, Tulsi","DEM","C","552","131","765"
"01-01","","1","2839","1712","1","7","State Senator, Dist 4","","15","(G) GREENWELL, Kelly","GRE","C","186","54","252"
"01-01","","1","2839","1712","1","7","State Senator, Dist 4","","16","(D) SOLOMON, Malama","DEM","C","428","106","590"
"01-01","","1","2839","1712","1","53","Hawaii Resident Trustee","","109","LINDSEY, Robert K.","","C","355","86","456"
"01-01","","1","2839","1712","1","53","Hawaii Resident Trustee","","110","MEYERS, William (Willy)","","C","43","26","95"
"01-01","","1","2839","1712","1","53","Hawaii Resident Trustee","","111","MIRANDA, Edwin L.P.","","C","71","23","115"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","112","AHUNA, Dan","","C","70","19","144"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","113","ALALEM WORTHINGTON, Keola","","C","7","2","9"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","114","ALBAO, Liberta Hussey","","C","11","6","25"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","115","BURKE, Jackie Kahookele","","C","23","11","44"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","116","KAGAWA FU, Kanani","","C","40","10","32"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","117","PACHECO, Haunani","","C","52","19","87"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","118","POMROY, Sharon A.","","C","20","8","24"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","119","SAHUT, Ronson K.","","C","6","0","4"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","120","SANTOS, D. Kaliko","","C","10","4","35"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","121","SWAIN, Billy Kealamaikahiki","","C","13","5","21"
"01-01","","1","2839","1712","1","54","Kauai Resident Trustee","","122","YADAO, Leland K. (Radar)","","C","39","14","89"
"01-01","","1","2839","1712","1","55","Molokai Resident Trustee","","123","MACHADO, Colette (Piipii)","","C","285","85","427"
"01-01","","1","2839","1712","1","56","""At Large"" Trustee","","124","AKINA, Keli'i","","C","47","12","100"
"01-01","","1","2839","1712","1","56","""At Large"" Trustee","","125","APOLIONA, Haunani","","C","171","58","211"
"01-01","","1","2839","1712","1","56","""At Large"" Trustee","","126","LEE, Cal","","C","70","19","99"
"01-01","","1","2839","1712","1","56","""At Large"" Trustee","","127","LINCOLN, Lancelot Haili","","C","21","8","51"
